-1.5, 1.7, 0.544601
-1.4835, 1.7, 0.469675
-1.4535, 1.7, 0.546191
-1.42466, 1.69253, 0.503041
-1.40304, 1.67323, 0.461071
-1.39767, 1.64551, 0.539055
-1.41212, 1.62119, 0.492021
-1.43902, 1.61009, 0.50556
-1.46887, 1.60958, 0.511497
-1.49883, 1.60827, 0.472972
-1.52641, 1.59754, 0.536398
-1.54404, 1.5749, 0.530099
-1.54329, 1.54677, 0.529079
-1.52395, 1.52585, 0.509199
-1.49545, 1.51868, 0.469046
-1.46549, 1.51894, 0.527005
-1.43582, 1.51498, 0.534319
-1.41052, 1.50013, 0.493366
-1.39824, 1.47448, 0.511112
-1.40571, 1.44733, 0.494846
-1.42935, 1.43097, 0.537833
-1.45881, 1.42764, 0.491771
-1.4888, 1.42802, 0.502283
-1.51788, 1.4214, 0.51182
-1.54031, 1.40296, 0.504375
-1.547, 1.37551, 0.479072
-1.53376, 1.35054, 0.544773
-1.50737, 1.33841, 0.482228
-1.47757, 1.33726, 0.560506
-1.4476, 1.33595, 0.52079
-1.41986, 1.32554, 0.557239
-1.40171, 1.30325, 0.509209
-1.40167, 1.27509, 0.576042
-1.42045, 1.25372, 0.562729
-1.44881, 1.2462, 0.506722
-1.47875, 1.24668, 0.506054
-1.50853, 1.24346, 0.54322
-1.5344, 1.22955, 0.613531
-1.54787, 1.20446, 0.56074
-1.54175, 1.17698, 0.582157
-1.51888, 1.15962, 0.593686
-1.48958, 1.15544, 0.526148
-1.45959, 1.15562, 0.584852
-1.40763, 1.13117, 0.612108
-1.41274, 1.07858, 0.579354
-1.43885, 1.06598, 0.62423
-1.46863, 1.06479, 0.666165
-1.49862, 1.0641, 0.610504
-1.52672, 1.05458, 0.668357
-1.54585, 1.03307, 0.701855
-1.54727, 1.00494, 0.683203
-1.52954, 0.98274, 0.620053
-1.5015, 0.974253, 0.64209
-1.47157, 0.974275, 0.65147
-1.44177, 0.971151, 0.645151
-1.41565, 0.957616, 0.683221
-1.40156, 0.932823, 0.644239
-1.40691, 0.905192, 0.714914
-1.42932, 0.887326, 0.698378
-1.45854, 0.882895, 0.717017
-1.48853, 0.883488, 0.724936
